Comment,Designator,Footprint,LCSC Part #
"BATTERY_CR2032","BT1","BATTERY-2032","C70377"
"1u","C1, C2","C0603","C15849"
"100nF","C3, C7, C16, C17, C19, C21, C23","C0402","C307331"
"10u","C4, C5, C6, C9, C11, C12, C13, C15, C18, C20","C0603","C96446"
"5.6nF","C8","C0402","C115688"
"10nF","C10","C0402","C15195"
"220nF","C14","C0402","C16772"
"100n","C22","C0603","C14663"
"cr","cr1","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr2","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr3","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr4","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr5","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr6","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr7","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr8","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr9","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr10","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr11","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr12","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr13","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr14","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr15","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr16","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr17","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr18","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr19","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr20","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr21","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr22","PinHeader_1x01_P1.00mm_Vertical",""
"B5819W","D1, D2, D5, D6","D_SOD-123","C8598"
"1N4148WS","D3, D4, D7, D9, D11, D13, D15, D17, D19, D21, D34, D36, D38, D40, D42, D43","SOD-323","C2128"
