Comment,Designator,Footprint,LCSC Part #
"BATTERY_CR2032","BT1","BATTERY-2032","C70377"
"1u","C1","C0603","C15849"
"1u","C2","C0603","C15849"
"100nF","C3","C0402","C307331"
"10u","C4","C0603","C96446"
"10u","C5","C0603","C96446"
"10u","C6","C0603","C96446"
"100nF","C7","C0402","C307331"
"5.6nF","C8","C0402","C115688"
"10u","C9","C0603","C96446"
"10nF","C10","C0402","C15195"
"10u","C11","C0603","C96446"
"10u","C12","C0603","C96446"
"10u","C13","C0603","C96446"
"220nF","C14","C0402","C16772"
"10u","C15","C0603","C96446"
"100nF","C16","C0402","C307331"
"100nF","C17","C0402","C307331"
"10u","C18","C0603","C96446"
"100nF","C19","C0402","C307331"
"10u","C20","C0603","C96446"
"100nF","C21","C0402","C307331"
"100n","C22","C0603","C14663"
"100nF","C23","C0402","C307331"
"cr","cr1","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr2","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr3","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr4","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr5","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr6","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr7","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr8","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr9","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr10","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr11","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr12","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr13","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr14","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr15","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr16","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr17","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr18","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr19","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr20","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr21","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr22","PinHeader_1x01_P1.00mm_Vertical",""
"B5819W","D1","D_SOD-123","C8598"
"B5819W","D2","D_SOD-123","C8598"
"1N4148WS","D3","D_SOD-323","C2128"
"1N4148WS","D4","D_SOD-323","C2128"
"B5819W","D5","D_SOD-123","C8598"
"B5819W","D6","D_SOD-123","C8598"
"1N4148WS","D7","D_SOD-323","C2128"
"LED-RED-0603","D8","LED-0603","C2286"
"1N4148WS","D9","D_SOD-323","C2128"
"LED-RED-0603","D10","LED-0603","C2286"
"1N4148WS","D11","D_SOD-323","C2128"
"LED-RED-0603","D12","LED-0603","C2286"
"1N4148WS","D13","D_SOD-323","C2128"
"LED-RED-0603","D14","LED-0603","C2286"
"1N4148WS","D15","D_SOD-323","C2128"
"LED-RED-0603","D16","LED-0603","C2286"
"1N4148WS","D17","D_SOD-323","C2128"
"LED-RED-0603","D18","LED-0603","C2286"
"1N4148WS","D19","D_SOD-323","C2128"
"LED-RED-0603","D20","LED-0603","C2286"
"1N4148WS","D21","D_SOD-323","C2128"
"LED-RED-0603","D22","LED-0603","C2286"
"LED-BLUE-0603","D23","LED-0603","C72041"
"LED-BLUE-0603","D24","LED-0603","C72041"
"LED-BLUE-0603","D25","LED-0603","C72041"
"LED-BLUE-0603","D26","LED-0603","C72041"
"LED-BLUE-0603","D27","LED-0603","C72041"
"LED-BLUE-0603","D28","LED-0603","C72041"
"LED-BLUE-0603","D29","LED-0603","C72041"
"LED-BLUE-0603","D30","LED-0603","C72041"
"LED-GREEN-0603","D31","LED-0603","C72043"
"LED-GREEN-0603","D32","LED-0603","C72043"
"LED-GREEN-0603","D33","LED-0603","C72043"
"1N4148WS","D34","D_SOD-323","C2128"
