Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","BATTERY_CR2032","BatteryHolder_Keystone_1060_1x2032",-15.210000,34.290000,135.000000,bottom
"M13","Module-can-0.1","sd-0.1",-127.997499,1.399813,180.000000,bottom
"C1","1u","C0603",107.693799,94.167200,0.000000,top
"C2","1u","C0603",104.516301,90.492214,90.000000,top
"C3","100nF","C_0402_1005Metric",20.910000,50.290000,180.000000,top
"C4","100nF","C_0402_1005Metric",52.910000,41.690000,180.000000,top
"C5","10u","C_0603_1608Metric",25.910000,50.190000,180.000000,top
"C6","10u","C_0603_1608Metric",28.910000,49.690000,90.000000,top
"C7","10u","C_0603_1608Metric",61.910000,40.690000,90.000000,top
"C8","5.6nF","C_0402_1005Metric",63.410000,40.190000,90.000000,top
"C9","10u","C_0603_1608Metric",56.660000,40.690000,90.000000,top
"C10","10nF","C_0402_1005Metric",58.410000,40.690000,90.000000,top
"C11","10u","C_0603_1608Metric",60.160000,40.690000,90.000000,top
"C12","10u","C_0603_1608Metric",42.910000,25.440000,-90.000000,top
"C13","10u","C_0603_1608Metric",42.910000,27.440000,90.000000,top
"C14","220nF","C_0402_1005Metric",57.465000,19.470000,-90.000000,top
"C15","10u","C_0603_1608Metric",63.465000,19.470000,-90.000000,top
"C16","100nF","C_0402_1005Metric",69.660000,27.840000,-90.000000,top
"C17","100nF","C_0402_1005Metric",61.465000,19.470000,-90.000000,top
"C18","10u","C_0603_1608Metric",48.180000,37.690000,0.000000,top
"C19","100nF","C_0402_1005Metric",59.465000,19.495000,-90.000000,top
"C20","10u","C_0603_1608Metric",56.215000,19.990000,-90.000000,top
"C21","100nF","C_0402_1005Metric",98.410000,14.440000,0.000000,top
"C22","100n","C_0402_1005Metric",105.147500,11.102500,90.000000,top
"C23","100nF","C_0402_1005Metric",99.160000,9.090000,0.000000,top
"D1","B5819W","D_SOD-123",18.910000,90.190000,180.000000,top
"D2","B5819W","D_SOD-123",18.910000,94.440000,180.000000,top
"D3","1N4148WS","D_SOD-323",17.910000,92.690000,0.000000,top
"D4","1N4148WS","D_SOD-323",62.660000,91.440000,180.000000,top
"D5","B5819W","D_SOD-123",62.660000,93.940000,180.000000,top
"D6","B5819W","D_SOD-123",17.910000,88.190000,0.000000,top
"D7","1N4148WS","D_SOD-323",15.160000,80.440000,90.000000,top
"D8","LED-RED-0603","LED_0603_1608Metric",21.660000,76.940000,0.000000,top
"D9","1N4148WS","D_SOD-323",65.810000,74.490000,180.000000,top
"D10","LED-RED-0603","LED_0603_1608Metric",65.810000,72.740000,0.000000,top
"D11","1N4148WS","D_SOD-323",65.810000,69.240000,0.000000,top
"D12","LED-RED-0603","LED_0603_1608Metric",65.810000,63.990000,180.000000,top
"D13","1N4148WS","D_SOD-323",65.810000,65.740000,0.000000,top
"D14","LED-RED-0603","LED_0603_1608Metric",65.810000,67.490000,180.000000,top
"D15","1N4148WS","D_SOD-323",65.810000,70.990000,180.000000,top
